Ae1,Ae2,Ae3,Ep1,Ep2,Ep3,Ep4,Ep5,Co1,Co2,Co3,Co4,Co5,Co8,Md1,Md3,Md4,Co7,Ae10,Md7
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,1.0,1.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,6.0,3.0
3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0
4.0,4.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0
5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0
7.0,7.0,7.0,5.0,5.0,7.0,5.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,5.0,5.0,7.0,6.0,7.0,4.0
5.0,4.0,4.0,3.0,4.0,6.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,4.0,5.0,3.0
5.0,6.0,6.0,4.0,3.0,5.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0
7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,3.0,4.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,6.0,5.0,4.0
5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0
6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0
6.0,6.0,6.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0
6.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,1.0
3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0,4.0,3.0,5.0,5.0
